,A,Prob
186,0,0.7396330235826571
423,0,0.07919312642629825
369,1,0.7128013946731264
283,1,0.8384282510344232
266,1,0.7892401993222177
1,0,0.05098996266358656
204,1,0.32029957047862806
30,1,0.9117586127835027
71,1,0.0476331839965874
363,1,0.8669248025449933
121,1,0.9394016191777333
329,0,0.8099580792244508
162,0,0.013562657619260598
249,0,0.4929840695974143
335,1,0.9522862490166234
103,0,0.2554835533817883
309,0,0.8853967470087913
349,1,0.6606470689951243
119,0,0.25852400070722775
477,0,0.7128263345771397
370,0,0.06596900974187192
439,0,0.7852641257466493
195,1,0.8273917740581381
20,0,0.4505458426356524
292,1,0.7193253941131653
70,0,0.014456836021510034
232,0,0.029613365093200984
21,0,0.05407148335142904
43,0,0.29859677321119454
68,0,0.12158263308442223
324,1,0.10943586632461999
88,1,0.952883392811427
59,1,0.34107713891029895
301,1,0.16789968288578588
393,1,0.744155560717438
23,1,0.4825323423335674
139,1,0.9231726122981765
401,1,0.7870326119140528
199,1,0.6615822976538538
351,1,0.8421579158301471
140,0,0.026240485751780517
279,0,0.35580424005139616
161,0,0.1204765429076915
307,1,0.9116596830545982
311,1,0.9751029493574291
153,1,0.46692773596205656
316,1,0.9327294911174173
339,0,0.7342452647803583
394,1,0.18774443816449343
437,1,0.9431297020876539
117,1,0.9552594071088396
196,1,0.1863687554103679
268,0,0.3537055499807357
471,0,0.16905219500172955
61,1,0.9371907617418975
354,1,0.16331285994664838
312,0,0.04776143405989214
125,0,0.18817539274424563
256,1,0.25828848282786776
175,0,0.05893017287190467
80,0,0.3989118710640953
436,1,0.5135176470732354
476,1,0.6003092457109387
415,1,0.9914217345882936
465,1,0.9763550696030014
245,0,0.4216256691158543
158,0,0.292249587760703
132,0,0.056841042885584864
404,0,0.0903472127907603
200,0,0.3689589407260969
294,1,0.8810145828083736
464,0,0.10588529633978223
280,1,0.952883392811427
392,0,0.04890995302856523
224,1,0.5921203858743709
87,1,0.35164025775461427
234,1,0.8932031371824871
110,1,0.7365550241605703
155,1,0.8311354434211216
306,0,0.23828161201616502
440,0,0.08620044906108255
60,0,0.11441096648332898
109,1,0.10207583551989398
421,1,0.03755047682583933
240,1,0.9745535761913398
454,1,0.9701915066633734
100,0,0.9254659953877988
120,1,0.029835316747757648
326,1,0.5065723683564555
16,1,0.9245488847401417
298,1,0.8216535699889821
253,0,0.212060702780286
429,0,0.3803704794801695
286,0,0.0173453725812351
411,1,0.7390889159751042
390,1,0.84150917357905
222,1,0.8918051280485055
288,0,0.566319005678815
290,0,0.6195296453240436
213,1,0.8918167601448388
32,1,0.8701123491141627
364,1,0.8826862365800783
386,1,0.8772569188704249
83,1,0.6124131252717151
452,0,0.054146856547687736
308,0,0.02805712663781595
375,0,0.35766413829334254
24,0,0.03528319754127078
142,0,0.027273219802335526
491,0,0.5911118371657152
275,0,0.025606924315534147
122,0,0.02692465904884249
281,0,0.06286383349377273
136,1,0.7219869037773993
263,1,0.9402326917929548
344,1,0.5158795673285639
487,0,0.2411836603507076
333,0,0.6051214164850264
277,1,0.12188450686475528
62,0,0.06605229331697296
472,1,0.4548557268518535
276,0,0.3834914045415348
5,0,0.11812420267103077
179,0,0.3316210511044325
96,0,0.0433985210744795
185,1,0.9643001352651969
145,0,0.16677037983665735
435,0,0.2610663995594235
67,1,0.5267164430812241
304,0,0.01392100504477667
291,1,0.9748793928251389
218,0,0.40559440145826764
285,1,0.9061889613344701
78,1,0.18155182373242396
65,0,0.8539056965620073
457,0,0.7640333454163014
2,1,0.9061786039672693
237,0,0.13609125347942566
395,1,0.9546324764797007
101,1,0.735298281409257
430,1,0.5362561840780462
146,0,0.32032609445169585
19,1,0.11203962690566445
27,1,0.9257450510796245
293,0,0.8770982578634926
156,1,0.8505760799479833
54,0,0.18001196920918242
322,0,0.376942104637098
314,0,0.04047241009917221
296,0,0.10207583551989398
